127.0.0.1 - - [16/Oct/2019:21:18:17 +0900] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:18:18 +0900] "GET /yousub/board/offer.jsp HTTP/1.1" 500 2650
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:19:06 +0900] "GET /yousub/board/offer.jsp HTTP/1.1" 500 2650
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:19:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:19:36 +0900] "GET /yousub/board/believe.jsp HTTP/1.1" 500 2600
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:35 +0900] "GET /yousub/main.jsp HTTP/1.1" 200 5281
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:35 +0900] "GET /yousub/css/bootstrap.css HTTP/1.1" 200 141399
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:35 +0900] "GET /yousub/main.css HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:35 +0900] "GET /yousub/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:35 +0900] "GET /yousub/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:40 +0900] "GET /yousub/loginPage.do HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:40 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:40 +0900] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:42 +0900] "GET /yousub/joinPage.do HTTP/1.1" 200 4510
0:0:0:0:0:0:0:1 - - [16/Oct/2019:21:40:49 +0900] "GET /yousub/member/idCheck.jsp?id=rkdeoqja HTTP/1.1" 200 1382
